,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,SUWB14,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
55,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,55,15:30,,,,,"SUB OUT by GUY,JESSICA",,,"SUB OUT by GUY,JESSICA",1,subbing out,,spalding,jessica guy,,930
56,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,56,15:30,,,,,"SUB OUT by RIGGS,KAYLA",,,"SUB OUT by RIGGS,KAYLA",1,subbing out,,spalding,kayla riggs,,930
57,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,57,15:04,"TURNOVER  by ANDREASSEN,CAROLINE",,,,,,,"TURNOVER  by ANDREASSEN,CAROLINE",1,turnover,,Centre,caroline andreassen,,904
58,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,58,15:02,,,,,"STEAL  by STYLES,KAYLA",,,"STEAL  by STYLES,KAYLA",1,steal,,spalding,,,902
59,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,59,14:52,,,,,"TURNOVER  by MARTIN,MADDIE",,,"TURNOVER  by MARTIN,MADDIE",1,turnover,,spalding,maddie martin,,892
60,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,60,14:52,,,,,"SUB IN by GUY,JESSICA",,,"SUB IN by GUY,JESSICA",1,subbing in,,spalding,jessica guy,,892
61,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,61,14:52,,,,,"SUB OUT by STYLES,KAYLA",,,"SUB OUT by STYLES,KAYLA",1,subbing out,,spalding,kayla styles,,892
62,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,62,14:37,,,,,"FOUL  by HARDIN,MAYA",,,"FOUL  by HARDIN,MAYA",1,foul,,spalding,maya hardin,,877
63,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,63,14:24,"GOOD JUMPER by JUDY,MICHELE",11 (+4),,7,,CENTRE_W 11-7 (+4),,"GOOD JUMPER by JUDY,MICHELE",1,jumper,good,Centre,michele judy,2,864
64,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,64,--,"ASSIST  by ANDREASSEN,CAROLINE",,,,,,,"ASSIST  by ANDREASSEN,CAROLINE",1,assist,,Centre,caroline andreassen,,
